percentile,age_group,gender,resting_heart_rate_bpm,resting_heart_rate_covariance_value,azm_in_fat_burn_minute_cnt,azm_in_cardio_minute_cnt,azm_in_peak_minute_cnt,azm_total_multiplied_azm_cnt,step_cnt,sleep_rem_minute_cnt,sleep_deep_minute_cnt,sleep_all_awake_cnt,sleep_light_minute_cnt,sleep_all_asleep_minute_cnt,stress_management_score
1,18-24,female,51,7.0,1,0,0,1,13.0,17,20,0,113,0,59
2,18-24,female,53,7.0,1,0,0,1,38.0,25,27,0,127,0,61
3,18-24,female,54,7.0,1,0,0,1,88.0,30,31,0,138,0,62
4,18-24,female,55,7.0,1,0,0,1,174.0,34,35,0,146,0,63
5,18-24,female,56,7.0,1,0,0,1,288.0,37,37,0,152,0,64
6,18-24,female,57,7.0,1,0,0,1,431.0,40,40,0,158,0,64
7,18-24,female,57,7.0,1,0,0,1,594.0,43,42,0,163,0,65
8,18-24,female,58,7.0,2,0,0,2,767.0,45,44,0,167,0,65
9,18-24,female,58,7.0,2,0,0,2,943.0,47,45,0,171,0,66
10,18-24,female,59,7.0,2,0,0,2,1115.0,49,47,0,175,0,66
11,18-24,female,59,7.0,2,0,0,2,1284.0,51,48,0,178,0,66
12,18-24,female,59,7.0,2,0,0,2,1445.0,53,50,0,181,0,67
13,18-24,female,60,7.0,2,0,0,3,1606.0,54,51,0,184,0,67
14,18-24,female,60,7.0,3,0,0,3,1760.0,56,52,0,187,0,67
15,18-24,female,60,7.0,3,0,0,3,1911.0,58,53,0,190,0,68
16,18-24,female,61,7.0,3,0,0,3,2060.0,59,55,0,192,0,68
17,18-24,female,61,7.0,3,0,0,3,2206.0,60,56,0,194,0,68
18,18-24,female,61,7.0,3,0,0,4,2348.0,62,57,0,197,0,69
19,18-24,female,62,7.0,4,0,0,4,2490.0,63,58,0,199,0,69
20,18-24,female,62,7.0,4,0,0,4,2630.0,64,59,0,201,0,69
21,18-24,female,62,7.0,4,0,0,4,2768.0,65,60,0,203,0,69
22,18-24,female,63,7.0,4,0,0,5,2905.0,67,60,0,205,0,70
23,18-24,female,63,7.0,5,0,0,5,3039.0,68,61,0,207,0,70
24,18-24,female,63,7.0,5,0,0,5,3176.0,69,62,0,209,0,70
25,18-24,female,63,7.0,5,0,0,5,3309.0,70,63,0,211,0,70
26,18-24,female,64,7.0,5,0,0,6,3442.0,71,64,0,213,0,70
27,18-24,female,64,7.0,6,0,0,6,3574.0,72,65,0,214,0,71
28,18-24,female,64,7.0,6,0,0,6,3702.0,73,65,0,216,0,71
29,18-24,female,64,7.0,6,0,0,7,3830.0,74,66,0,218,0,71
30,18-24,female,65,7.0,7,0,0,7,3957.0,75,67,0,220,0,71
31,18-24,female,65,7.0,7,0,0,7,4083.0,76,68,0,221,0,72
32,18-24,female,65,7.0,7,0,0,8,4210.0,77,68,0,223,0,72
33,18-24,female,65,7.0,8,0,0,8,4338.0,78,69,0,224,0,72
34,18-24,female,66,7.0,8,0,0,9,4464.0,79,70,0,226,0,72
35,18-24,female,66,7.0,8,0,0,9,4588.0,80,71,0,228,0,72
36,18-24,female,66,7.0,9,0,0,9,4711.0,81,71,0,229,0,72
37,18-24,female,66,7.0,9,0,0,10,4835.0,82,72,0,231,0,73
38,18-24,female,66,7.0,9,0,0,10,4959.0,83,73,0,232,0,73
39,18-24,female,67,7.0,10,0,0,11,5079.0,84,73,0,234,0,73
40,18-24,female,67,7.0,10,0,0,11,5200.0,85,74,0,235,0,73
41,18-24,female,67,7.0,11,0,0,12,5321.0,85,75,0,237,0,73
42,18-24,female,67,7.0,11,0,0,12,5444.0,86,75,0,238,0,74
43,18-24,female,68,7.0,11,0,0,13,5566.0,87,76,0,240,0,74
44,18-24,female,68,8.0,12,0,0,13,5689.0,88,77,0,241,0,74
45,18-24,female,68,8.0,12,0,0,14,5813.0,89,77,0,243,0,74
46,18-24,female,68,8.0,13,0,0,14,5935.0,90,78,0,244,0,74
47,18-24,female,68,8.0,13,0,0,15,6057.0,91,79,0,246,0,74
48,18-24,female,69,8.0,14,0,0,16,6179.0,92,79,0,247,0,75
