datetime,steps,sleep_minutes,bed_time,wake_up_time,resting_heart_rate,heart_rate_variability,active_zone_minutes,deep_sleep_minutes,rem_sleep_minutes,light_sleep_minutes,awake_minutes,deep_sleep_percent,rem_sleep_percent,light_sleep_percent,awake_percent,sleep_score,stress_management_score,readiness_score,cardio_load_total,fatburn_active_zone_minutes,cardio_active_zone_minutes,peak_active_zone_minutes
2023-12-17,6993,401,2023-12-17 23:04:00,2023-12-18 05:45:00,61.6,64.0,36,65,71,230,34,16.3,17.7,57.5,8.5,71,77.0,67,62.4,20,15,5
2023-12-18,8723,430,2023-12-18 22:32:00,2023-12-19 05:42:00,70.4,48.3,55,62,112,230,24,14.5,26.2,53.6,5.7,82,74.0,71,75.8,23,15,11
2023-12-19,10295,420,2023-12-19 23:48:00,2023-12-20 06:48:00,66.4,49.3,37,46,95,238,40,11.0,22.8,56.7,9.6,82,83.0,81,51.5,16,14,8
2023-12-20,12046,424,2023-12-20 21:50:00,2023-12-21 04:54:00,60.8,35.0,62,72,68,227,55,17.0,16.1,53.7,13.2,78,76.0,50,47.2,28,19,10
2023-12-21,8531,385,2023-12-21 23:13:00,2023-12-22 05:38:00,54.3,39.0,44,53,63,235,32,13.8,16.4,61.3,8.5,85,77.0,71,20.3,21,14,5
2023-12-22,8531,421,2023-12-22 23:11:00,2023-12-23 06:12:00,54.5,36.7,36,57,118,236,8,13.7,28.1,56.1,2.1,62,90.0,83,52.2,19,16,6
2023-12-23,9158,442,2023-12-23 23:41:00,2023-12-24 07:03:00,,46.0,48,65,121,265,5,14.8,27.4,60.0,-2.3,73,67.0,94,37.0,26,13,6
2023-12-24,7534,485,2023-12-24 23:19:00,2023-12-25 07:24:00,61.9,52.7,53,69,57,293,60,14.3,11.9,60.4,13.4,68,56.0,70,62.4,36,15,6
2023-12-25,8061,463,2023-12-25 00:52:00,2023-12-25 08:35:00,62.6,49.4,33,64,76,228,60,13.9,16.6,49.4,20.1,96,,89,41.8,3,16,7
2023-12-26,10085,516,2023-12-26 23:49:00,2023-12-27 08:25:00,66.3,64.1,60,57,137,264,56,11.2,26.6,51.3,11.0,83,74.0,95,45.2,29,20,7
2023-12-27,8073,385,2023-12-27 21:23:00,2023-12-28 03:48:00,53.0,34.3,29,56,84,220,23,14.7,21.9,57.3,6.2,77,79.0,70,20.8,7,13,6
2023-12-28,8068,459,2023-12-28 22:58:00,2023-12-29 06:37:00,68.6,46.4,61,78,113,244,22,17.1,24.8,53.2,4.9,84,73.0,68,13.8,28,16,7
2023-12-29,9483,428,2023-12-29 22:42:00,2023-12-30 05:50:00,65.5,29.6,55,67,93,230,37,15.8,21.8,53.8,8.6,86,79.0,72,87.2,31,14,12
2023-12-30,2173,518,2023-12-30 23:33:00,2023-12-31 08:11:00,60.4,33.9,28,92,127,318,5,17.8,24.6,61.4,-3.9,86,97.0,74,52.6,19,7,0
2023-12-31,2550,383,2023-12-31 23:24:00,2024-01-01 05:47:00,56.1,60.2,19,49,84,204,44,12.8,22.0,53.4,11.7,85,80.0,88,58.1,15,5,0
2024-01-01,7875,382,2024-01-01 22:49:00,2024-01-02 05:11:00,68.2,39.4,43,42,77,191,60,11.2,20.2,50.2,18.4,75,81.0,65,31.8,27,10,6
2024-01-02,6974,393,2024-01-02 23:28:00,2024-01-03 06:01:00,60.5,35.4,42,56,103,199,34,14.3,26.2,50.8,8.7,73,70.0,93,67.5,20,15,2
2024-01-03,9628,324,2024-01-03 22:56:00,2024-01-04 04:20:00,,19.4,46,42,73,213,5,13.2,22.8,65.9,-1.9,70,58.0,65,63.9,29,17,1
2024-01-04,7183,396,2024-01-04 22:38:00,2024-01-05 05:14:00,63.9,35.2,19,53,97,214,30,13.5,24.6,54.1,7.8,82,49.0,59,34.0,17,3,0
2024-01-05,6175,385,2024-01-05 21:30:00,2024-01-06 03:55:00,57.4,42.5,35,60,87,185,52,15.6,22.6,48.2,13.6,76,66.0,81,28.8,18,9,4
2024-01-06,8931,426,2024-01-06 22:55:00,2024-01-07 06:01:00,60.6,28.7,37,57,85,196,60,13.5,20.1,46.2,20.3,74,46.0,89,35.3,24,10,5
2024-01-07,5548,435,2024-01-07 21:46:00,2024-01-08 05:01:00,66.3,41.8,16,48,123,225,36,11.2,28.4,51.9,8.4,74,77.0,77,49.4,8,2,3
2024-01-08,9135,504,2024-01-08 22:42:00,2024-01-09 07:06:00,65.8,60.2,52,67,118,272,46,13.3,23.4,54.0,9.2,89,68.0,80,53.3,33,9,7
2024-01-09,6150,462,2024-01-09 23:49:00,2024-01-10 07:31:00,65.9,36.5,27,74,95,276,16,16.0,20.6,59.7,3.7,85,58.0,98,50.8,12,9,4
2024-01-10,7911,394,2024-01-10 22:22:00,2024-01-11 04:56:00,56.2,33.7,49,67,106,233,5,17.0,27.1,59.3,-3.4,92,73.0,89,76.0,21,15,6
2024-01-11,9221,379,2024-01-11 00:43:00,2024-01-11 07:02:00,60.8,31.5,38,64,63,208,42,17.0,16.7,55.0,11.3,82,64.0,75,35.7,13,12,7
2024-01-12,6698,442,2024-01-12 23:37:00,2024-01-13 06:59:00,,31.3,28,71,136,233,5,16.3,30.9,52.7,0.1,78,76.0,69,28.3,13,6,5
2024-01-13,6751,360,2024-01-13 23:19:00,2024-01-14 05:19:00,64.1,51.4,45,52,76,204,27,14.5,21.3,56.7,7.5,77,79.0,88,50.0,22,18,6
2024-01-14,4798,502,2024-01-14 22:22:00,2024-01-15 06:44:00,63.7,45.6,26,81,84,232,60,16.2,16.9,46.3,20.6,69,64.0,84,16.1,8,16,4
2024-01-15,8416,473,2024-01-15 23:44:00,2024-01-16 07:37:00,62.8,56.5,27,70,140,307,5,14.9,29.6,64.9,-9.4,67,69.0,80,63.9,12,6,3
2024-01-16,7796,398,2024-01-16 22:51:00,2024-01-17 05:29:00,74.3,69.2,41,61,80,231,24,15.3,20.1,58.3,6.2,82,74.0,71,52.0,17,18,3
2024-01-17,12704,342,2024-01-17 23:15:00,2024-01-18 04:57:00,60.5,23.0,78,41,78,202,18,12.2,23.0,59.3,5.5,70,57.0,74,43.2,33,28,13
2024-01-18,8973,480,2024-01-18 00:49:00,2024-01-18 08:49:00,60.0,49.6,40,72,119,238,49,15.1,24.9,49.6,10.4,79,74.0,73,42.1,25,14,4
2024-01-19,6884,414,2024-01-19 22:41:00,2024-01-20 05:35:00,56.2,31.6,40,66,110,254,5,16.1,26.7,61.4,-4.3,86,57.0,71,68.2,26,12,7
2024-01-20,7645,475,2024-01-20 23:59:00,2024-01-21 07:54:00,54.3,54.5,29,76,110,250,38,16.0,23.2,52.7,8.1,72,77.0,67,67.6,19,9,4
2024-01-21,3558,348,2024-01-21 22:54:00,2024-01-22 04:42:00,55.9,41.7,16,38,67,174,60,11.1,19.4,50.2,19.2,94,67.0,78,45.1,7,9,2
2024-01-22,9417,393,2024-01-22 22:07:00,2024-01-23 04:40:00,58.4,45.3,57,60,89,215,27,15.3,22.9,54.8,7.0,70,57.0,67,61.8,28,16,4
2024-01-23,5080,420,2024-01-23 00:49:00,2024-01-23 07:49:00,68.6,,27,44,85,229,60,10.7,20.3,54.7,14.3,85,66.0,77,67.3,8,8,7
2024-01-24,6343,422,2024-01-24 22:20:00,2024-01-25 05:22:00,62.2,39.9,44,65,97,209,50,15.5,23.0,49.6,11.9,81,66.0,49,56.7,24,19,5
2024-01-25,9393,399,2024-01-25 00:00:00,2024-01-25 06:39:00,63.0,46.1,51,51,113,201,32,12.9,28.5,50.5,8.1,87,82.0,67,45.9,26,20,8
2024-01-26,10476,448,2024-01-26 23:54:00,2024-01-27 07:22:00,61.5,61.3,74,90,112,224,21,20.1,25.0,50.1,4.7,69,73.0,88,57.6,51,22,10
2024-01-27,6342,371,2024-01-27 22:07:00,2024-01-28 04:18:00,,35.5,16,56,84,186,43,15.4,22.8,50.2,11.6,96,62.0,64,29.2,13,5,1
2024-01-28,5768,413,2024-01-28 23:28:00,2024-01-29 06:21:00,69.0,38.4,26,71,103,219,18,17.4,25.0,53.1,4.6,76,88.0,82,51.4,14,11,4
2024-01-29,8397,425,2024-01-29 23:31:00,2024-01-30 06:36:00,52.0,56.3,31,90,107,204,22,21.3,25.2,48.1,5.4,83,78.0,65,45.3,15,12,4
2024-01-30,6042,443,2024-01-30 23:37:00,2024-01-31 07:00:00,68.1,34.7,20,55,78,228,60,12.5,17.7,51.5,18.2,89,68.0,84,42.2,15,9,2
2024-01-31,7560,452,2024-01-31 21:04:00,2024-02-01 04:36:00,50.0,58.7,27,73,100,272,5,16.3,22.2,60.2,1.3,73,56.0,71,15.5,8,10,3
2024-02-01,8078,369,2024-02-01 22:46:00,2024-02-02 04:55:00,62.1,44.9,42,42,119,218,5,11.4,32.3,59.1,-2.8,84,67.0,70,29.4,26,16,7
